BP,Temp,residual,resid_z
2164.06,25.99,0.47259643361826775,0.6937807404031092
2374.77,25.52,-0.14785807339369939,-0.21705852252901695
2532.81,26.8,1.0284870658904737,1.5098389816561197
2585.48,24.51,-1.2943076254507986,-1.9000687242172025
2638.16,25.67,-0.16623323355540975,-0.24403361441537377
2685.68,26.3,0.4357192431912402,0.6396443088550126
2770.38,26.17,0.25749341990146135,0.37800533986352375
2939.78,24.48,-1.522169325335451,-2.2345741237716537
3109.18,26.26,0.1772197978845078,0.2601621041637244
3193.88,26.44,0.3203088101658125,0.47021955238446184
3278.58,25.16,-0.9943392104386675,-1.4597092668439677
3363.28,26.51,0.3232757360710714,0.47457505721870774
3447.98,26.47,0.25315364969502596,0.3716344729402407
3541.11,27.2,0.9526455973409611,1.398502233300457
3659.56,26.37,0.08779575109593907,0.128885867236112
3778.01,26.41,0.09737160057771987,0.1429434001984215
3896.46,26.24,-0.09862685421369122,-0.14478613690783604
4074.14,25.91,-0.4593270807192873,-0.674301072711939
4133.36,26.93,0.5526533233839075,0.8113058089499435
4488.71,26.78,0.3777663077313598,0.554568274395628
4607.16,24.94,-1.46167797269921,-2.1457716436118983
4722.11,26.01,-0.38690720383760535,-0.5679872873576902
4826.56,26.56,0.17104210272433917,0.2510931277235245
4931.01,28.03,1.6524327550569815,2.4258033677753073
4983.24,26.17,-0.20058070410404483,-0.29445636806538195
5035.46,26.88,0.5172647531603225,0.7593547007632957
5087.69,25.73,-0.6240278683788425,-0.9160850267984816
5139.91,27.33,0.9855380970343575,1.4467890614855097
5244.36,25.77,-0.5527472133209059,-0.8114436412004271
5348.81,25.68,-0.6175911779054744,-0.9066358402098962
5432.37,26.42,0.14501141938177753,0.21287957916934966
5536.82,25.81,-0.4336381228155375,-0.6365891837368225
5641.27,25.86,-0.3488463192421527,-0.512113169787942
5745.73,26.48,0.30939065528019327,0.4541914890273455
5797.95,25.41,-0.740204095608572,-1.0866339840294765
5850.18,27.14,1.0110654798680017,1.484263755120597
5902.4,25.59,-0.516808762871932,-0.758685298166528
5954.63,26.62,0.5361816502265064,0.7871250729436908
6059.08,26.25,0.2147391663557059,0.31524126554908244
6163.53,25.67,-0.31326197174439585,-0.4598746567616318
