BP,Temp,residual,resid_z
6174,20.31,0.28634329066375486,0.7927178032250288
6095,19.74,-0.2545889199846023,-0.7048084448139378
6015,20.2,0.23477732130498552,0.6499616665036213
5935,19.97,0.03407363075788439,0.0943300388134779
5855,19.73,-0.176699991625906,-0.48917936532360806
5776,19.94,0.06209243019192101,0.17189777607341586
5696,19.64,-0.208820181717293,-0.5781014646310239
5616,20.99,1.1701972745368003,3.239594720939441
5536,19.36,-0.43085520104579444,-1.1927871181803558
5457,19.89,0.12766185323821588,0.3534213203321422
5377,19.68,-0.05352961186979854,-0.1481923191933418
5297,20.06,0.3552089911854921,0.9833668200348868
5217,19.04,-0.6361223375959035,-1.7610522700653735
5138,19.28,-0.36788065084570576,-1.0184472655580725
5058,19.51,-0.10935096915252274,-0.3027291467042152
4898,19.11,-0.45250140127622984,-1.2527128396982716
4819,19.55,0.015464917940150258,0.04281335088436604
4739,19.11,-0.39628425356547226,-1.097080299003685
4586,18.76,-0.6924493096985707,-1.9169888505385533
4513,19.55,0.12314650832973939,0.34092096005356315
4439,18.82,-0.580966477132062,-1.6083578156553155
4366,19.69,0.31451208487445115,0.8707007886633797
4293,19.46,0.1099324177000689,0.30433883909208626
4220,19.58,0.2552945213447906,0.7067618440324236
4147,19.46,0.1605983958086199,0.4446034242037424
4073,19.9,0.6261894675554238,1.7335539379062492
4000,19.42,0.17137608599745846,0.4744405713236609
3927,19.65,0.4265044752585929,1.1807424923730947
3854,19.12,-0.07842536466116456,-0.21711415918707042
3781,19.4,0.22658656623818274,0.6272862360849122
3707,19.01,-0.13811830480640097,-0.38236914480341266
3634,19.76,0.6367763700711464,1.7628629050755764
3561,19.16,0.06161281576779842,0.17057000306429743
3488,19.37,0.2963910322835588,0.8205341478851759
3415,18.75,-0.29888898038157663,-0.8274495113436335
3341,19.02,-0.0038897942175566413,-0.01076857474114766
3268,18.91,-0.08928706290448929,-0.24718387568289824
3195,18.84,-0.13474256077231672,-0.37302367563336103
3122,18.49,-0.4602562878210392,-1.2741816040328948
3049,18.7,-0.22582824405065693,-0.6251868836005602
2975,18.99,0.08887499932196974,0.24604311161202888
2902,18.71,-0.16681421292944165,-0.4618114016696863
2829,18.59,-0.26256165436175394,-0.7268803029199965
2764,18.66,-0.17101591735154997,-0.4734434741082399
2700,18.62,-0.18984675925308991,-0.5255751081006548
2635,19.06,0.27160735612419984,0.7519225828111479
2570,19.18,0.4130153055624284,1.1433988376847444
2506,19.24,0.494048795897708,1.367733377870185
2441,18.9,0.1753651237030205,0.4854838934828946
2377,18.67,-0.033691598031026615,-0.09327241269172395
2312,19.07,0.38753310814137265,1.0728534740614482
2247,18.5,-0.16128835162529498,-0.44651351002432843
2183,17.89,-0.7504807411225229,-2.077644086181629
