BP,Temp,residual,resid_z,delta_residz,delta_zscore
6163.53,25.67,-0.3132619717443958,-0.4598746567616318,-0.7751159223107142,-0.4545782088785475
6059.08,26.25,0.2147391663557059,0.3152412655490824,-0.47188380739460845,-0.2696872125379811
5954.63,26.62,0.5361816502265064,0.7871250729436908,1.545810371110219,0.960569968755397
5902.4,25.59,-0.516808762871932,-0.758685298166528,-2.2429490532871252,-1.3495662945666544
5850.18,27.14,1.0110654798680017,1.484263755120597,2.570897739150073,1.5856008130822057
5797.95,25.41,-0.740204095608572,-1.0866339840294763,-1.5408254730568218,-0.9214575227141013
5745.73,26.48,0.3093906552801932,0.4541914890273455,0.9663046588152875,0.6072255066726028
5641.27,25.86,-0.3488463192421527,-0.512113169787942,0.12447601394888053,0.09393377653893609
5536.82,25.81,-0.4336381228155375,-0.6365891837368225,-0.8494687629061721,-0.49991367996560204
5432.37,26.42,0.1450114193817775,0.2128795791693496,1.1195154193792458,0.7006433498934747
5348.81,25.68,-0.6175911779054744,-0.9066358402098962,-0.09519219900946907,-0.040005449421538726
5244.36,25.77,-0.5527472133209059,-0.8114436412004271,-2.2582327026859366,-1.358885258574962
5139.91,27.33,0.9855380970343576,1.4467890614855097,2.3628740882839914,1.458761675078393
5087.69,25.73,-0.6240278683788425,-0.9160850267984816,-1.6754397275617774,-1.0035364398629323
5035.46,26.88,0.5172647531603225,0.7593547007632957,1.0538110688286775,0.6605811591173908
4983.24,26.17,-0.2005807041040448,-0.2944563680653819,-2.7202597358406897,-1.6405989501471503
4931.01,28.03,1.6524327550569815,2.4258033677753077,2.174710240051783,1.3440317382953009
4826.56,26.56,0.1710421027243391,0.2510931277235245,0.8190804150812148,0.5174578476071701
4722.11,26.01,-0.3869072038376053,-0.5679872873576902,1.5777843562542082,0.9800656015708269
4607.16,24.94,-1.46167797269921,-2.1457716436118983,-2.7003399180075265,-1.6284531556058461
4488.71,26.78,0.3777663077313598,0.554568274395628,-0.2567375345543156,-0.13850516819743863
4133.36,26.93,0.5526533233839075,0.8113058089499435,1.4856068816618824,0.9238618412196269
4074.14,25.91,-0.4593270807192873,-0.674301072711939,-0.5295149358041029,-0.3048268835283397
3896.46,26.24,-0.0986268542136912,-0.144786136907836,-0.2877295371062575,-0.15740205262540644
3778.01,26.41,0.0973716005777198,0.1429434001984215,0.014057532962309494,0.026607850425644126
3659.56,26.37,0.087795751095939,0.128885867236112,-1.2696163660643451,-0.7560920500551533
3541.11,27.2,0.9526455973409612,1.398502233300457,1.0268677603602163,0.6441529020087292
3447.98,26.47,0.2531536496950259,0.3716344729402407,-0.10294058427846697,-0.04472990505122012
3363.28,26.51,0.3232757360710714,0.4745750572187077,1.9342843240626753,1.197435830518125
3278.58,25.16,-0.9943392104386676,-1.4597092668439675,-1.9299288192284294,-1.1587071470588732
3193.88,26.44,0.3203088101658125,0.4702195523844618,0.2100574482207374,0.14611570540605517
3109.18,26.26,0.1772197978845078,0.2601621041637244,2.494736227935378,1.5391625336302286
2939.78,24.48,-1.522169325335451,-2.2345741237716537,-2.6125794636351776,-1.5749426036226117
2770.38,26.17,0.2574934199014613,0.3780053398635237,-0.26163896899148886,-0.14149374048912236
2685.68,26.3,0.4357192431912402,0.6396443088550126,0.8836779232703862,0.5568451587220173
2638.16,25.67,-0.1662332335554097,-0.2440336144153737,1.6560351098018287,1.0277777635620542
2585.48,24.51,-1.2943076254507986,-1.9000687242172023,-3.409907705873322,-2.0611009155767026
2532.81,26.8,1.0284870658904737,1.5098389816561195,1.7268975041851364,1.0709849901588568
2374.77,25.52,-0.1478580733936993,-0.2170585225290169,-0.9108392629321261,-0.5373333737828505
2164.06,25.99,0.4725964336182677,0.6937807404031092,,
