BP,Temp,resid_z,cluster_all_1.0
2183.0,17.89,-2.5144273119217475,1
2247.0,18.5,-1.413514053600648,1
2700.0,18.62,-1.1969409536030529,2
2764.0,18.66,-1.1247499202705231,2
2829.0,18.59,-1.2510842286024533,2
2902.0,18.71,-1.0345111286048578,2
3049.0,18.7,-1.0525588869379936,3
3122.0,18.49,-1.4315618119337836,3
5935.0,19.97,1.2395064213698708,4
6015.0,20.2,1.6546048630319257,4
