CRA_bin,SPD,SPD_Z,SPD_M3
6100,0.01,-1.0118193609557389,
6080,0.327,-0.6991885808006757,0.2373333333333333
6060,0.375,-0.6518501661399722,0.37833333333333335
6040,0.433,-0.5946495817582886,0.44300000000000006
6020,0.521,-0.5078624882136654,0.49233333333333335
6000,0.523,-0.5058900542694694,0.5193333333333333
5980,0.514,-0.5147660070183514,0.5013333333333333
5960,0.467,-0.561118204706957,0.47633333333333333
5940,0.448,-0.5798563271768189,0.43533333333333335
5920,0.391,-0.6360706945864043,0.40700000000000003
5900,0.382,-0.6449466473352862,0.37833333333333335
5880,0.362,-0.664670986777246,0.36800000000000005
5860,0.36,-0.666643420721442,0.3586666666666667
5840,0.354,-0.67256072255403,0.3666666666666667
5820,0.386,-0.6410017794468942,0.373
5800,0.379,-0.6479052982515802,0.39633333333333337
5780,0.424,-0.6035255345071706,0.3933333333333333
5760,0.377,-0.6498777321957762,0.4106666666666667
5740,0.431,-0.5966220157024846,0.412
5720,0.428,-0.5995806666187787,0.42733333333333334
5700,0.423,-0.6045117514792685,0.4226666666666667
5680,0.417,-0.6104290533118565,0.4096666666666667
5660,0.389,-0.6380431285306003,0.3993333333333333
5640,0.392,-0.6350844776143063,0.383
5620,0.368,-0.6587536849446581,0.357
5600,0.311,-0.7149680523542437,0.332
5580,0.317,-0.7090507505216557,0.319
5560,0.329,-0.6972161468564798,0.3253333333333333
5540,0.33,-0.6962299298843817,0.31233333333333335
5520,0.278,-0.7475132124334772,0.2786666666666667
5500,0.228,-0.7968240610383769,0.2253333333333333
5480,0.1699999999999999,-0.8540246454200604,0.17699999999999996
5460,0.133,-0.890514673387686,0.154
5440,0.159,-0.8648730321131382,0.18066666666666667
5420,0.25,-0.775127287652221,0.251
5400,0.344,-0.6824228922750099,0.3213333333333333
5380,0.37,-0.6567812510004621,0.3446666666666667
5360,0.32,-0.7060920996053616,0.325
5340,0.285,-0.7406096936287914,0.2813333333333333
5320,0.239,-0.7859756743452989,0.263
5300,0.265,-0.7603340330707511,0.27666666666666667
5280,0.326,-0.7001747977727736,0.3136666666666667
5260,0.35,-0.676505590442422,0.37766666666666665
5240,0.457,-0.5709803744279368,0.4346666666666666
5220,0.497,-0.5315316955440172,0.4876666666666667
5200,0.509,-0.5196970918788414,0.49766666666666665
5180,0.487,-0.5413938652649972,0.49
5160,0.474,-0.5542146859022711,0.45
5140,0.389,-0.6380431285306003,0.39399999999999996
5120,0.319,-0.7070783165774597,0.332
5100,0.288,-0.7376510427124974,0.2723333333333333
5080,0.21,-0.8145759665361407,0.22166666666666668
5060,0.167,-0.8569832963363543,0.168
5040,0.127,-0.8964319752202738,0.1396666666666667
5020,0.125,-0.8984044091644698,0.12166666666666666
5000,0.113,-0.9102390128296458,0.11133333333333334
4980,0.096,-0.9270047013553117,0.10533333333333333
4960,0.107,-0.9161563146622337,0.11333333333333334
4940,0.137,-0.886569805499294,0.12866666666666668
4920,0.142,-0.881638720638804,0.15133333333333332
4900,0.175,-0.8490935605595703,0.18833333333333332
4880,0.248,-0.777099721596417,0.235
4860,0.282,-0.7435683445450852,0.272
4840,0.286,-0.7396234766566933,0.2986666666666667
4820,0.328,-0.6982023638285777,0.33066666666666666
4800,0.378,-0.6488915152236782,0.37166666666666665
4780,0.409,-0.6183187890886405,0.43566666666666665
4760,0.52,-0.5088487051857634,0.505
4740,0.586,-0.4437583850272961,0.6273333333333334
4720,0.776,-0.25637716032867774,0.7543333333333333
4700,0.901,-0.13310003881642887,0.9353333333333333
4680,1.129,0.09175743082191305,1.0773333333333333
4660,1.202,0.16375126978506635,1.2256666666666667
4640,1.346,0.3057665137671772,1.2550000000000001
4620,1.217,0.17854452436653634,1.1946666666666668
4600,1.021,-0.014754002164670068,1.0613333333333335
4580,0.946,-0.08872027507201935,0.976
4560,0.961,-0.07392702049054947,0.9983333333333334
4540,1.088,0.05132253496589549,1.062
4520,1.137,0.09964716659869699,1.155
4500,1.24,0.20122751472479003,1.216
4480,1.271,0.23180024085982767,1.2803333333333333
4460,1.33,0.2899870422136093,1.3079999999999998
4440,1.323,0.28308352340892323,1.3343333333333334
4420,1.35,0.30971138165556916,1.3033333333333335
4400,1.237,0.19826886380849618,1.2553333333333334
4380,1.179,0.14106827942681263,1.1906666666666668
4360,1.156,0.11838528906855872,1.1213333333333333
4340,1.029,-0.006864266387886134,1.0753333333333333
4320,1.041,0.004970337277289768,1.0123333333333333
4300,0.967,-0.06800971865796152,0.9673333333333334
4280,0.894,-0.14000355762111483,0.8809999999999999
4260,0.782,-0.2504598584960898,0.7836666666666666
4240,0.675,-0.3559850745105748,0.6806666666666666
4220,0.585,-0.4447446019993941,0.6
4200,0.54,-0.4891243657438036,0.5356666666666666
4180,0.482,-0.5463249501254871,0.5353333333333333
