CRA_bin,SPD,SPD_Z,SPD_M3
6000,0.006,-1.1308106277568917,
5980,0.165,-1.048798948957594,0.12766666666666668
5960,0.212,-1.0245565030232104,0.21266666666666667
5940,0.261,-0.9992824636448104,0.256
5920,0.295,-0.981745375096533,0.2633333333333333
5900,0.2339999999999999,-1.013208975139031,0.25399999999999995
5880,0.233,-1.013724771861039,0.25899999999999995
5860,0.31,-0.9740084242664107,0.3433333333333333
5840,0.487,-0.8827124044709661,0.4589999999999999
5820,0.58,-0.8347433093242072,0.584
5800,0.685,-0.7805846535133503,0.64
5780,0.655,-0.7960585551735951,0.6683333333333333
5760,0.665,-0.7909005879535135,0.6213333333333333
5740,0.544,-0.853311991316501,0.5126666666666667
5720,0.329,-0.9642082865482556,0.36033333333333334
5700,0.208,-1.026619689911243,0.21833333333333335
5680,0.118,-1.0730413948919775,0.164
5660,0.166,-1.0482831522355858,0.17433333333333334
5640,0.239,-1.01062999152899,0.254
5620,0.357,-0.949765978332027,0.34833333333333333
5600,0.449,-0.9023126799072763,0.4086666666666667
5580,0.42,-0.9172707848455129,0.41933333333333334
5560,0.389,-0.9332604832277659,0.3916666666666666
5540,0.366,-0.9451238078339536,0.38400000000000006
5520,0.397,-0.9291341094517006,0.4306666666666667
5500,0.529,-0.8610489421466234,0.5226666666666667
5480,0.642,-0.8027639125597013,0.6063333333333333
5460,0.648,-0.7996691322276522,0.6083333333333334
5440,0.535,-0.8579541618145744,0.5463333333333333
5420,0.456,-0.8987021028532192,0.4586666666666667
5400,0.385,-0.9353236701157985,0.39433333333333326
5380,0.3419999999999999,-0.9575029291621495,0.3423333333333333
5360,0.3,-0.9791663914864922,0.31266666666666665
5340,0.296,-0.9812295783745248,0.306
5320,0.322,-0.9678188636023126,0.31999999999999995
5300,0.3419999999999999,-0.9575029291621495,0.36166666666666664
5280,0.421,-0.9167549881235048,0.40133333333333326
5260,0.441,-0.9064390536833415,0.43566666666666665
5240,0.445,-0.9043758667953089,0.438
5220,0.428,-0.9131444110694477,0.4256666666666667
5200,0.404,-0.9255235323976435,0.38166666666666665
5180,0.313,-0.9724610341003862,0.3116666666666667
5160,0.218,-1.0214617226911615,0.28633333333333333
5140,0.328,-0.9647240832702637,0.37833333333333335
5120,0.589,-0.8301011388261338,0.609
5100,0.91,-0.6645303910615141,0.912
5080,1.237,-0.4958648629648455,1.224
5060,1.525,-0.3473154070264953,1.49
5040,1.708,-0.25292460689900187,1.6726666666666665
5020,1.785,-0.2132082593043735,1.6966666666666665
5000,1.597,-0.3101780430419077,1.5663333333333334
4980,1.317,-0.4546011252041927,1.3936666666666666
4960,1.267,-0.4803909613046008,1.3033333333333335
4940,1.326,-0.44995895470611924,1.367
4920,1.508,-0.35608395130063397,1.4816666666666667
4900,1.611,-0.30295688893379347,1.4753333333333334
4880,1.307,-0.4597590924242744,1.3263333333333331
4860,1.061,-0.5866450860382819,1.1123333333333332
4840,0.969,-0.6340983844630328,1.0813333333333333
4820,1.214,-0.5077281875710333,1.1786666666666665
4800,1.353,-0.43603244321189893,1.3256666666666665
4780,1.41,-0.4066320300574338,1.3976666666666666
4760,1.43,-0.39631609561727055,1.4146666666666665
4740,1.404,-0.4097268103894828,1.4383333333333332
4720,1.481,-0.3700104627948543,1.5173333333333334
4700,1.667,-0.2740722725013364,1.6376666666666668
4680,1.765,-0.22352419374453672,1.7463333333333333
4660,1.807,-0.20186073142019395,1.7806666666666668
4640,1.77,-0.22094521013449586,1.7916666666666667
4620,1.798,-0.20650290191826734,1.8776666666666666
4600,2.065,-0.06878517714208847,2.175666666666667
4580,2.664,0.24017705934079994,2.4746666666666663
4560,2.695,0.2561667577230528,2.542666666666667
4540,2.269,0.036437354147576435,2.372
4520,2.152,-0.023910862327378376,2.1653333333333333
4500,2.075,-0.06362720992200674,1.968
4480,1.677,-0.2689143052812548,1.6563333333333334
4460,1.217,-0.5061807974050088,1.3873333333333333
4440,1.268,-0.4798751645825926,1.3216666666666665
4420,1.48,-0.3705262595168625,1.5436666666666667
4400,1.883,-0.1626601805475737,1.7413333333333334
4380,1.861,-0.17400770843175326,1.8549999999999998
4360,1.821,-0.1946395773120797,1.7266666666666666
4340,1.498,-0.36124191852071563,1.5476666666666665
4320,1.324,-0.45099054815013556,1.345666666666667
4300,1.215,-0.507212390849025,1.24
4280,1.181,-0.5247494793973025,1.1636666666666666
4260,1.095,-0.5691079974900044,1.1166666666666667
4240,1.074,-0.5799397286521758,1.1383333333333334
4220,1.246,-0.49122269246677214,1.2326666666666668
4200,1.378,-0.42313752516169495,1.3436666666666666
4180,1.407,-0.4081794202234582,1.4926666666666666
4160,1.693,-0.2606615577291242,1.6356666666666666
4140,1.807,-0.20186073142019395,1.8236666666666668
4120,1.971,-0.1172700690108555,1.9413333333333334
4100,2.046,-0.07858531486024359,2.0566666666666666
4080,2.153,-0.023395065605370274,2.0926666666666667
4060,2.079,-0.06156402303397409,2.0576666666666665
4040,1.941,-0.13274397067110033,1.939
4020,1.797,-0.20701869864027556,1.8626666666666667
4000,1.85,-0.17968147237384297,1.907
3980,2.074,-0.06414300664401507,2.098333333333333
3960,2.371,0.08904861979240876,2.4493333333333336
3940,2.903,0.3634524759007503,2.7906666666666666
3920,3.098,0.4640328366923416,2.9949999999999997
3900,2.984,0.40523201038341133,2.938
3880,2.732,0.27525123643735494,2.7479999999999998
3860,2.528,0.17002870514769003,2.655666666666667
3840,2.707,0.26235631838715073,2.810666666666666
3820,3.197,0.5150967121711496,3.200333333333333
3800,3.697,0.77299507317523,3.6460000000000004
3780,4.0440000000000005,0.951976535712062,3.908666666666667
3760,3.985,0.9215445291135802,3.8586666666666667
3740,3.547,0.695625564874006,3.58
3720,3.208,0.5207704761132395,3.2070000000000003
3700,2.866,0.3443679971864484,2.8843333333333336
3680,2.579,0.1963343379701063,2.696
3660,2.643,0.2293453281786284,2.671
3640,2.791,0.30568324303583627,2.7870000000000004
3620,2.927,0.3758315972289462,2.969333333333333
3600,3.19,0.5114861351170924,3.1939999999999995
3580,3.465,0.6533302336693366,3.2146666666666666
3560,2.989,0.40781099399345205,2.938333333333334
3540,2.361,0.08389065257232727,2.3273333333333333
3520,1.632,-0.2921251577716221,1.7256666666666665
3500,1.184,-0.5232020892312781,1.276
3480,1.012,-0.6119191254166817,1.067
3460,1.005,-0.6155297024707389,1.0556666666666665
3440,1.15,-0.5407391777795556,1.234
3420,1.547,-0.33596787914231574,1.5809999999999997
3400,2.046,-0.07858531486024359,2.0063333333333335
3380,2.426,0.11741743950285768,2.274
3360,2.35,0.07821688863023743,2.353333333333333
3340,2.284,0.04417430497769868,2.2276666666666665
3320,2.049,-0.07703792469421904,2.090333333333333
3300,1.938,-0.1342913608371249,1.9273333333333331
3280,1.795,-0.20805029208429188,1.7329999999999999
3260,1.466,-0.37774741362497677,1.4646666666666668
3240,1.133,-0.5495077220536942,1.2426666666666666
3220,1.129,-0.5515709089417269,1.1896666666666664
3200,1.307,-0.4597590924242744,1.4126666666666665
3180,1.802,-0.2044397150302347,1.7983333333333331
3160,2.286,0.045205898421715116,2.3623333333333334
3140,2.999,0.4129689612135338,3.0703333333333336
3120,3.926,0.8911125225150989,3.907666666666667
3100,4.798,1.340887264106215,4.682666666666667
3080,5.324,1.6121963398825074,4.959333333333333
3060,4.756,1.3192238017818725,4.891
3040,4.593,1.235148936094542,4.734666666666667
3020,4.855,1.3702876772606805,4.718333333333334
3000,4.707,1.2939497624034724,4.673
2980,4.457,1.1650005819014322,4.545333333333333
2960,4.472,1.1727375327315548,4.474333333333333
2940,4.494,1.184085060615734,4.448333333333333
2920,4.379,1.1247684375847955,4.253333333333333
2900,3.887,0.8709964503567805,3.882333333333333
2880,3.381,0.610003309020651,3.554
2860,3.394,0.6167086664067574,3.4246666666666665
2840,3.499,0.6708673222176142,3.424666666666667
2820,3.381,0.610003309020651,3.5429999999999997
2800,3.749,0.7998165027196544,3.69
2780,3.94,0.8983336766232131,3.720333333333333
2760,3.472,0.6569408107233938,3.4619999999999997
2740,2.974,0.40007404316332984,3.058
2720,2.728,0.2731880495493223,2.786666666666667
2700,2.658,0.23708227900875087,2.583
2680,2.363,0.08492224601634348,2.36
2660,2.059,-0.07187995747413732,2.062666666666667
2640,1.766,-0.2230083970225285,1.7703333333333333
2620,1.486,-0.36743147918481356,1.6103333333333332
2600,1.579,-0.3194623840380546,1.6723333333333332
2580,1.952,-0.12707020672901062,2.074
